total            | launch_price             | current_price_eth              | current_price_usd           | price_change_1d | price_change_24h | lock_amount      | burn_amount  | tx_amount_24h      | tx_volume_u_24h    | locked_percent     | market_cap                        | fdv                               | tvl              | main_pair_tvl    | token                                        | chain  | decimal | name                        | symbol | holders | logo_url                                                                                       | risk_score | launch_at  | created_at | tx_count_24h | lock_platform        | is_mintable | updated_at | main_pair                                   
-----------------+--------------------------+--------------------------------+-----------------------------+-----------------+------------------+------------------+--------------+--------------------+--------------------+--------------------+-----------------------------------+-----------------------------------+------------------+------------------+----------------------------------------------+--------+---------+-----------------------------+--------+---------+------------------------------------------------------------------------------------------------+------------+------------+------------+--------------+----------------------+-------------+------------+---------------------------------------------
999999418.723847 | 1.2555332002309751       | 0.05434569092058168            | 10.837575405004035          | -2.66           | 0.5              | 800000024.364007 | 0            | 5356423.335977999  | 58188810.397369    | 0.800000489385214  | 2167508517.329904701291441954400  | 10837569105.379895731837585722645 | 358559983.582812 | 358559983.582812 | 6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN | solana | 6       | OFFICIAL TRUMP              | TRUMP  | 643590  | https://www.iconaves.com/ipfs/thumbs/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN_127x127.webp | 55         | 1737165695 | 1737165695 | 7559         | Lock                 | 0           | 1753256884 | 9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2
1000000000       | 0.00009855290483627108   | 0.0000000212892421576637       | 0.000004282554245044359     | -5.42           | -95.65           | 0                | 0            | 8851018265.179218  | 1328066.9950912264 | 0                  | 4282.554245044359000000000        | 4282.554245044359000000000        | 8181.635826      | 8181.635826      | 4M98VXyrPA7EegPvQvBPGKaAvsYnw4gKcq2Bmxb4pump | solana | 6       | Your Phone Linging          | Trump  | 96      | https://www.iconaves.com/ipfs/thumbs/4M98VXyrPA7EegPvQvBPGKaAvsYnw4gKcq2Bmxb4pump_170x128.webp | 40         | 1753189943 | 1753167129 | 9588         |                      | 0           | 1753243154 | HWJJTv28awn9fXPUuAo9M6Cj82EhkmdAWSJj6hn2Cr8w
1000000000       | 0.00006133333329482832   | 0.00000060343064606716         | 0.00012151551186711599      | 98.12           | 98.12            | 0                | 0            | 8344663192.853534  | 931929.0055313424  | 0                  | 121515.51186711599000000000       | 121515.51186711599000000000       | 173929.501182    | 173929.501182    | 37r1vkJewgKSsi6v6KhhTyEt17mwqSop2jm2nW54BBHr | solana | 6       | Your Phone Linging          | Trump  | 13      | https://www.iconaves.com/ipfs/thumbs/37r1vkJewgKSsi6v6KhhTyEt17mwqSop2jm2nW54BBHr_170x128.webp | 55         | 1753241599 | 1753241562 | 3532         |                      | 0           | 1753243154 | 3aBUHBbBqMHb4fbNiMbWvfUAB65e3i2Y5hPfK8CKGCEQ
1000000000       | 0.000049732465784256614  | 0.0000008388418382698317       | 0.00013673814412273037      | 174.95          | 2.1              | 0                | 0            | 5489133162.978333  | 710161.8551854867  | 0                  | 136738.14412273037000000000       | 136738.14412273037000000000       | 0.000001         | 0.000001         | EuHU14AnMooEFMR8TSu9Em681RKAU5sdjUNzYa2ycZcR | solana | 6       | TRUMP                       | TRUMP  | 8       | https://www.iconaves.com/ipfs/thumbs/EuHU14AnMooEFMR8TSu9Em681RKAU5sdjUNzYa2ycZcR_128x128.webp | 0          | 1752418035 | 1752417992 | 641          |                      |             | 1752505597 | 3FDxC8RkDmo6RUKLirgNdasAJwGTwBdM5ZNxd32p64r7
10000000002      | 0.000028216355281621636  | 0.0000000000033416929233600043 | 0.0000000006746939030290271 | -43.24          | -100.0           | 0                | 0            | 30979908049.15292  | 623979.002003      | 0                  | 6.7469390316396588060580542       | 6.7469390316396588060580542       | 5.366547         | 5.366547         | 6nU9Vbm9Kn5bShCssdGk31mFUnfSYohYkTAvNViH6cHJ | solana | 6       | BASED OFFICIAL TRUMP        | TRUMP  | 34      | https://www.iconaves.com/ipfs/thumbs/6nU9Vbm9Kn5bShCssdGk31mFUnfSYohYkTAvNViH6cHJ_128x128.webp | 55         | 1753205530 | 1753205034 | 36914        |                      | 0           | 1753238819 | C81xLoaxmJRPm8u8UD27mGAiTmSQsQsM1GDd1LqMGjbs
1000000000       | 0.000030656287728922616  | 0.00000025507716924179543      | 0.000052040617161289016     | 69.76           | 69.76            | 0                | 0            | 7381194165.986172  | 319908.8639458941  | 0                  | 52040.617161289016000000000       | 52040.617161289016000000000       | 0.000001         | 0.000001         | GcvwBcNgih6L9xttTuuccoKPBj5gZ6YDFpzjYfyKtn37 | solana | 6       | OFFICIAL TRUMP              | TRUMP  | 8       | https://www.iconaves.com/ipfs/thumbs/GcvwBcNgih6L9xttTuuccoKPBj5gZ6YDFpzjYfyKtn37_128x128.webp | 55         | 1753203130 | 1753203111 | 2168         |                      | 0           | 1753203854 | TaGwRXhN2im9cxsQ1mQR8xT2VDyjpwbP9gnmFBQXNWT 
1000000000       | 0.00004052713930388885   | 0.00000043368699480270005      | 0.00008739294380253511      | 115.64          | 115.64           | 0                | 0            | 4391272231.614716  | 304969.229489      | 0                  | 87392.94380253511000000000        | 87392.94380253511000000000        | 119381.703481    | 119381.703481    | E7VbSnkZsP4iyjzinX6MyF2uS1qCEr7pbZf4jsga7tgs | solana | 6       | THE HUNTER                  | TRUMP  | 10      | https://www.iconaves.com/ipfs/thumbs/temp_E7VbSnkZsP4iyjzinX6MyF2uS1qCEr7pbZf4jsga7tgs.xxx     | 55         | 1753148489 | 1753148444 | 665          |                      | 0           | 1753148931 | 3SfVqoax46vMstCyvTsU6B8cePwP3gaqLvqXcqFC5Reh
1000000000       | 0.000012837309378518109  | 0.000000480391013981209        | 0.00007248716426930154      | 464.66          | -77.48           | 0                | 0            | 3583931971.8723    | 291480.56508505874 | 0                  | 72487.16426930154000000000        | 72487.16426930154000000000        | 0.000001         | 0.000001         | Hcqj2QmduZCKMj2NtYJzj2fiJxht4ENSxqo6jqicPump | solana | 6       | TRUMP                       | TRUMP  | 4       | https://www.iconaves.com/ipfs/thumbs/Hcqj2QmduZCKMj2NtYJzj2fiJxht4ENSxqo6jqicPump_128x128.webp | 0          | 1751135345 | 1751135335 | 405          |                      |             | 1751222211 | GxoFJXBj85cdEAeBuDrFtuVju7c5UyCNPurPJfeZ2qA 
1000000000       | 0.00001948924148249101   | 0.0000002311686671139111       | 0.00003483629991837413      | 78.75           | 78.75            | 0                | 0            | 4323967886.806324  | 132878.07401507575 | 0                  | 34836.29991837413000000000        | 34836.29991837413000000000        | 52199.114496     | 52199.114496     | 2rw8eKzP3KCZXoAv6EqBykRR8SGRTCoeuBHNWP5HPUMP | solana | 6       | TRUMP                       | TRUMP  | 9       | https://www.iconaves.com/ipfs/thumbs/2rw8eKzP3KCZXoAv6EqBykRR8SGRTCoeuBHNWP5HPUMP_128x128.webp | 0          | 1751135347 | 1751135341 | 214          |                      |             | 1751135649 | 8gkPL3cR5RcVQrUh5fk3wWYQ5kJqA1kTHxi1dU1ZyhBb
1000000000       | 0.000005057414457827116  | 0.000000027975213883058422     | 0.000004052106683306076     | -9.35           | -19.88           | 0                | 0            | 4190316470.907005  | 107036.136807      | 0                  | 4052.106683306076000000000        | 4052.106683306076000000000        | 2.972695         | 2.972695         | C5UvM4Ah6eGLa43M4s5sQPUumtijCNoKuffk3Vc2pump | solana | 6       | TRUMP FOREVER               | TRUMP  | 7       | https://www.iconaves.com/ipfs/pump/C5UvM4Ah6eGLa43M4s5sQPUumtijCNoKuffk3Vc2pump_147.webp       | 0          | 1749652570 | 1749652570 | 3172         |                      |             | 1749821405 | HPL9cX7J8hPeDErMvASPpTLEtmMa1y9XLGfVthXzV3hN
1000000000       | 0.000006284504981912823  | 0.000000027631412311266774     | 0.00000549648992569609      | -12.54          | -12.54           | 0                | 0            | 5044714834.164032  | 80703.89238550796  | 0                  | 5496.48992569609000000000         | 5496.48992569609000000000         | 6503.689505      | 6503.689505      | po7CTcnK9tH7eRAQHvGjhwWjEUKKg7UuLxWzMoybonk  | solana | 6       | The Diddler                 | Trump  | 1       | https://www.iconaves.com/ipfs/thumbs/po7CTcnK9tH7eRAQHvGjhwWjEUKKg7UuLxWzMoybonk_123x128.webp  | 40         | 1753191838 | 1753191839 | 377          |                      | 0           | 1753192951 | 6dhtjfoHurDV7YnJLks78JhPWU5GRqh4fYPs3RU6q7X4
1000000003       | 0.00033225011389383135   | 0.00000019998477911325312      | 0.000030115454379736425     | -90.94          | -90.94           | 0                | 0            | 623572486.781127   | 48315.227201280984 | 0                  | 30115.454470082788139209275       | 30115.454470082788139209275       | 10017.838943     | 10017.838943     | Bi9v9uFPjNgoNBfJKGg3ZRRu3shiRj4DGyKu78AHUidT | solana | 6       | TRUMP                       | TRUMP  | 8       | https://www.iconaves.com/ipfs/thumbs/Bi9v9uFPjNgoNBfJKGg3ZRRu3shiRj4DGyKu78AHUidT_128x128.webp | 0          | 1751136259 | 1751136210 | 508          |                      |             | 1751136672 | BW5scpcuoeEeeMVb5VNcGdJAPBPb9u3ewaFYwGXmTCkm
1000000000       | 0.0000051617759082280455 | 0.000000027961988481884596     | 0.00000456641357122599      | -11.53          | -11.53           | 0                | 0            | 2571461392.083473  | 43720.705725       | 0                  | 4566.41357122599000000000         | 4566.41357122599000000000         | 0.632011         | 0.632011         | 5xMcBcZ8WEB6MysWP7KjECqRF2axxGXRRSzphnjjpump | solana | 6       | TRUMP FOREVER               | TRUMP  | 1       | https://www.iconaves.com/ipfs/pump/5xMcBcZ8WEB6MysWP7KjECqRF2axxGXRRSzphnjjpump_147.webp       | 0          | 1749652470 | 1749652470 | 540          |                      |             | 1749669278 | 99FQX2giZ2EJUTwkJVw2NK7Nrejr6cUjZiQkAy3Hs2VR
1000000000       | 0.000005004100552768041  | 0.000000027968816536201007     | 0.000004196291811968434     | -9.74           | -16.14           | 0                | 0            | 3918570187.29703   | 40743.013108       | 0                  | 4196.291811968434000000000        | 4196.291811968434000000000        | 1.6236           | 1.6236           | 8CMvYbi9yTuhXEjAiCe3twoThHuYAReh1YkFFKmZpump | solana | 6       | TRUMP FOREVER               | TRUMP  | 2       | https://www.iconaves.com/ipfs/pump/8CMvYbi9yTuhXEjAiCe3twoThHuYAReh1YkFFKmZpump_147.webp       | 0          | 1749652564 | 1749652564 | 823          |                      |             | 1750120624 | EJiMBGm5Aw1gXXYMkKJkBy7W3NVcD65DHNbnPyE9i2cK
